	m00        	mu02        mu11        mu20        mu03          mu12          mu21        mu30
n	179.000000  4460.715084  -511.782123  4754.480447  419.723042  -3431.246309  -791.426828  784.213352  
o	133.000000  2428.706767  -3.338346  3298.917293  -407.170671  -3.797275  461.442705  551.037707  
o	140.000000  2481.792857  -20.028571  3390.685714  -772.218673  -244.737551  -292.684490  1088.713469  
o	148.000000  2871.081081  -93.432432  3546.722973  -745.818846  -473.988678  436.160336  1133.213568  
o	143.000000  2654.657343  115.895105  3454.069930  -1119.121913  -886.247396  309.924837  1622.516309  
o	145.000000  2811.172414  57.379310  3492.234483  -453.995244  -661.575743  318.456124  -323.755149  
o	149.000000  2728.308725  -15.677852  3738.510067  -324.097563  -66.050448  251.924598  136.783298  
o	153.000000  2944.235294  10.000000  3554.000000  -335.886967  381.137255  -488.509804  888.000000  
o	146.000000  2923.842466  39.801370  3406.445205  -294.129480  114.220304  218.544005  1052.993245  
o	155.000000  2982.670968  -4.083871  3739.135484  -829.861311  278.385890  -638.321623  667.500687  
o	160.000000  3373.993750  17.987500  3773.975000  -1296.012422  -91.899844  69.962813  148.475625  
r	120.000000  1307.991667  700.766667  3259.466667  2855.209861  2972.759444  -1873.518889  -9280.928889  
r	121.000000  1186.925620  761.768595  3355.057851  2395.285568  2372.666211  -1487.947545  -8243.715593  
r	123.000000  1290.065041  726.796748  3372.260163  2499.288387  2792.002247  -1758.635072  -8818.641417  
r	123.000000  1303.853659  612.268293  3265.674797  2755.634741  2966.019235  -1658.066429  -8524.985260  
r	122.000000  1368.885246  679.475410  3304.959016  3350.744424  2909.082236  -2356.977694  -10300.312550  
r	124.000000  1374.604839  735.685484  3527.443548  3045.818288  3335.698361  -1457.603148  -9347.521202  
r	126.000000  1386.857143  720.095238  3681.658730  3174.353741  3358.811791  -1967.461829  -9756.658604  
r	122.000000  1254.032787  625.967213  3272.032787  2636.873421  2935.093792  -1560.995431  -9885.168503  
r	129.000000  1536.387597  788.612403  3518.387597  3223.162911  3243.558019  -2110.410733  -10186.604771  
r	129.000000  1599.875969  791.581395  3580.837209  3372.829517  3482.532180  -2468.242654  -9478.010817  
s	139.000000  1592.733813  -18.179856  3160.446043  -522.188500  -507.751514  -654.434087  -1187.238859  
s	145.000000  1751.406897  13.710345  3333.765517  -739.954245  -564.208609  -410.846706  -841.737646  
s	161.000000  2002.472050  -133.888199  3645.552795  -753.214228  -722.782840  -605.141931  -1045.009915  
s	158.000000  2021.898734  2.354430  3634.759494  -450.435507  -651.045345  -482.366608  235.688191  
s	154.000000  1869.766234  -34.948052  3681.766234  -876.471580  -1179.786979  -723.731321  -40.345421  
s	158.000000  2008.683544  -49.303797  3649.468354  -880.319500  -1186.970518  -266.391444  -898.194520  
s	162.000000  2116.944444  -53.333333  3784.000000  -264.609053  -1105.580247  -755.925926  -49.555556  
s	163.000000  2108.073620  -99.957055  3820.441718  -416.807031  -1501.330686  -721.253227  410.580300  
s	159.000000  2034.415094  -48.905660  3632.339623  -627.821289  -613.326451  -197.771449  -143.109292  
s	168.000000  2237.904762  -44.952381  3824.476190  -677.852608  -530.716553  -449.879819  -366.036281  
x	159.000000  2494.603774  -406.150943  4357.371069  -182.140263  -283.232230  1691.226296  -297.370515  
x	167.000000  2816.634731  -184.251497  4649.269461  760.142063  -638.254007  1383.529635  1373.012944  
x	171.000000  2916.853801  -69.467836  4902.502924  274.868643  -608.126774  685.391984  820.281249  
x	178.000000  2938.994382  -171.938202  5048.320225  -156.533645  -892.444515  120.384042  -41.033455  
x	182.000000  3195.340659  -501.241758  5419.478022  342.479652  899.567081  2081.901703  -252.184760  
x	184.000000  2945.652174  -375.913043  5461.978261  349.769376  -905.790170  1074.349716  399.608223  
x	181.000000  3229.889503  -140.983425  5185.447514  -56.353225  -1198.785690  1079.626141  2043.496963  
x	185.000000  3359.221622  -142.491892  5224.140541  -60.263141  -1627.755705  562.618232  1979.818729  
x	185.000000  3236.464865  -299.686486  5233.048649  355.540278  -868.553163  863.956289  759.545128  
x	189.000000  3393.185185  -217.555556  5579.238095  232.636488  -578.946502  774.342152  1019.535903  
z	126.000000  1392.444444  35.555556  3577.658730  204.320988  -1236.701940  -135.139330  1560.182414  
z	137.000000  1679.007299  -10.598540  3935.080292  30.062337  -750.294102  310.641910  1824.180937  
z	149.000000  1819.691275  -57.087248  4527.127517  247.675330  -512.911130  321.653799  2610.282960  
z	144.000000  1793.750000  41.958333  4272.659722  39.770833  -551.954861  588.222801  -125.097126  
z	150.000000  1803.333333  70.400000  4637.840000  384.311111  -812.053333  678.229333  985.881600  
z	153.000000  1834.679739  41.444444  4666.444444  79.117177  -1224.841685  -39.090051  1812.641975  
z	152.000000  1886.394737  110.342105  4617.763158  468.928670  -924.100416  248.737535  96.849723  
z	155.000000  1872.735484  39.987097  4814.877419  -133.565120  -445.236379  406.176982  -899.350926  
z	156.000000  1941.743590  -123.051282  4788.589744  -118.278764  -1221.999343  930.671926  798.272847  
z	161.000000  1975.043478  15.304348  5366.844720  312.544423  -1021.120713  282.564947  1533.713283  
